Churn,Support_Calls,Total_Spend,Payment_Delay,Contract_Length=Monthly
1,0,407,25,1
1,6,389.27,6,0
1,7,469,29,0
0,3,860.61,0,0
1,7,259.08,11,1
1,2,354,26,0
0,1,512.64,11,0
0,1,543.65,5,0
0,1,825.43,15,0
0,1,928.44,19,0
1,3,172,15,0
0,2,805.39,0,0
0,4,706.56,13,0
1,10,381,7,0
1,4,575,3,0
1,10,598,0,1
0,2,613.93,17,0
0,3,736.91,19,0
0,2,968.28,18,0
0,0,889.99,11,0
0,0,784.77,0,0
1,3,160,4,0
0,0,861.82,16,0
0,3,598.24,15,0
0,2,844.08,5,0
1,3,634,24,0
1,8,684,13,0
1,5,313,14,0
0,2,626.81,16,0
1,6,591,5,0
1,9,924.16,4,0
1,3,887,3,0
1,6,320.55,27,0
1,3,422,5,1
0,2,982.91,19,0
1,9,464.46,30,1
0,0,864.11,15,0
0,0,728.03,9,0
0,1,891.31,18,0
0,4,840.69,11,0
1,3,835,23,1
0,2,937.71,13,0
1,6,763,27,0
1,10,135,19,1
0,4,619.15,2,0
1,9,405,18,1
0,0,897.83,16,0
0,4,743.59,16,0
0,1,804.4,15,0
1,2,340,16,1
1,7,582,28,0
1,7,110.32,16,1
0,0,991.02,4,0
1,9,116,14,0
0,1,933.11,20,0
0,2,968.28,19,0
1,2,814,4,1
0,3,603.46,16,0
1,8,697,19,0
1,4,301.51,7,0
0,1,566.15,9,0
1,5,962.84,28,1
1,1,941.25,30,0
0,1,818.14,4,0
1,7,910,11,0
1,10,949,21,0
0,4,914.99,12,0
1,7,127.58,25,1
0,3,652.47,10,0
1,0,906,4,1
1,5,155,29,1
1,5,910,13,0
1,7,539,3,0
0,1,996.23,10,0
1,9,390,1,0
1,5,652.33,12,0
1,8,917,20,0
1,7,665,16,1
0,3,527.11,9,0
0,3,538.11,20,0
1,6,831,10,1
1,10,235,9,1
1,5,255,23,1
0,3,771.99,13,0
1,6,791,17,1
1,1,617,19,1
0,1,650.37,2,0
1,5,299,4,1
0,4,934.59,17,0
1,1,970.3,21,0
0,4,504.92,10,0
1,3,474.23,27,1
0,2,604.34,11,0
0,0,714.07,3,0
0,0,670.69,11,0
1,7,254.36,25,1
0,1,975.15,6,0
1,3,921,1,0
0,0,544.91,10,0
0,0,863.14,8,0
1,1,311,3,0
0,0,668.66,8,0
0,0,636.28,16,0
0,1,953.1,4,0
0,1,917.34,2,0
0,3,538.67,2,0
0,1,760.91,6,0
1,7,841.16,20,1
1,6,962.89,6,0
0,0,518.74,20,0
0,0,902.29,13,0
1,4,151.68,18,1
0,2,680.55,13,0
1,9,456,2,1
0,0,605.09,15,0
1,6,623.94,3,0
0,1,615.57,3,0
0,2,919.14,1,0
0,0,692.34,17,0
1,7,543,1,0
1,3,389,10,0
0,1,714.87,7,0
0,2,884.77,3,0
0,2,984.45,0,0
1,2,490.94,11,1
0,2,676.01,7,0
1,5,323.81,9,1
1,2,129,20,0
0,4,992.34,17,0
1,2,123.92,8,0
1,7,647,26,0
1,3,105,0,0
0,3,758.82,6,0
1,8,798,1,1
0,3,714.34,7,0
1,6,355,28,1
1,2,188,8,0
1,10,724,22,0
1,8,170,5,0
0,3,978.75,10,0
1,9,569,21,0
0,3,600.69,4,0
0,3,752.64,11,0
1,8,916,21,0
0,2,855.15,18,0
0,4,669.19,1,0
0,0,937,4,0
0,3,811.44,17,0
0,3,869.97,3,0
0,0,974.37,11,0
1,3,756,23,0
0,3,797,19,0
1,6,397.6,7,0
0,0,867.44,5,0
0,2,885.78,1,0
0,0,654.09,1,0
0,1,557.86,4,0
1,8,723,11,0
1,5,945,19,1
0,1,776.56,1,0
0,1,888.6,19,0
1,0,994.11,24,0
0,2,970.11,6,0
0,0,867.59,12,0
1,3,599,25,0
1,2,750.02,30,1
0,3,744.11,1,0
1,4,462,7,0
0,3,698.96,9,0
0,0,589.76,19,0
1,2,677,25,0
0,3,922.87,6,0
0,1,980.65,12,0
1,5,166.34,1,1
0,4,654.21,9,0
1,1,506,25,1
1,9,759,3,0
0,2,677.32,19,0
1,9,378,0,1
0,2,909.1,13,0
1,9,131,23,1
0,2,695.51,6,0
0,0,830.17,1,0
1,9,556,3,1
1,5,878,0,1
1,4,691,29,0
0,2,984.99,9,0
0,1,555.94,3,0
0,3,749.13,14,0
1,3,119,30,1
1,3,330,13,0
1,0,263,9,0
0,3,881.65,1,0
0,2,984.3,0,0
0,3,743.42,11,0
0,0,997.94,19,0
0,1,519.66,4,0
0,0,858.76,7,0
0,1,563.21,7,0
1,6,944,6,0
1,0,243,23,0
1,10,512.04,28,0
0,3,734.54,9,0
0,1,797.37,7,0
0,1,936.33,17,0
0,3,869.16,20,0
0,0,724.15,3,0
1,7,241,2,0
0,0,623.72,20,0
0,3,558.34,13,0
1,0,988,28,1
1,4,221.86,4,1
0,3,889.8,7,0
0,4,902.43,2,0
0,3,600.85,9,0
1,7,207,20,1
0,0,847.74,20,0
0,0,957.38,17,0
1,2,896,27,0
0,2,515.7,10,0
1,4,389,29,0
1,2,234,6,1
1,7,739,1,1
1,4,707,11,1
0,0,664.48,20,0
1,5,787,10,1
1,5,200,8,1
0,3,945.58,12,0
0,2,933.8,9,0
0,3,779.41,17,0
0,0,524.48,19,0
0,2,802.63,18,0
0,5,636.45,3,0
1,3,408,12,0
1,4,517,12,1
0,2,607.86,8,0
1,3,286.16,29,0
0,1,904.72,8,0
0,1,620.7,11,0
1,1,463.4,29,0
1,6,751,25,0
1,4,136,26,1
0,2,801.1,5,0
0,3,785.96,2,0
0,1,572.18,10,0
0,4,563.18,1,0
0,2,607.67,19,0
1,8,184,6,0
1,4,820,22,1
0,2,834.96,15,0
0,0,581.51,11,0
1,4,102,9,0
1,5,107.71,7,1
0,3,523.53,17,0
0,2,787.85,2,0
0,2,683.21,1,0
1,1,715,12,0
1,6,411,10,0
1,3,673,30,0
0,1,640.08,10,0
1,6,238,17,1
1,7,266.16,11,0
0,4,724.59,3,0
1,9,860,18,0
1,2,710,7,1
1,4,381,11,0
1,0,884,7,1
1,6,763,27,0
1,2,625,1,0
1,10,518,11,0
1,5,145.38,22,0
0,0,930.27,7,0
0,0,969.2,6,0
1,5,801,16,0
1,5,701,12,0
1,9,549,8,0
0,0,763.24,3,0
0,1,676.57,19,0
0,0,737.26,1,0
1,0,349,24,0
0,2,685.75,2,0
0,3,538.84,16,0
0,1,765.65,5,0
0,3,591.59,7,0
1,10,955,13,0
0,4,706.56,13,0
1,3,687,2,0
1,1,714.92,26,0
0,0,570.25,17,0
1,7,739.63,25,0
0,3,606.97,3,0
1,2,480,15,0
0,4,574.25,8,0
0,2,636.02,16,0
1,6,581,25,0
0,1,981.38,4,0
1,1,474.33,13,1
1,3,831,24,0
0,1,896.92,11,0
1,7,813,21,0
0,2,794.07,9,0
0,1,659.48,13,0
1,8,803,13,1
0,1,628.3,15,0
1,1,337,20,0
0,3,660.12,8,0
0,3,827.42,7,0
0,3,949.79,10,0
0,0,906.87,9,0
0,1,814.65,9,0
0,0,803.37,8,0
0,2,989.21,4,0
0,2,526.75,11,0
1,6,832.94,23,0
1,1,563,27,0
0,3,733.22,18,0
1,5,986,25,1
0,2,637.19,10,0
1,10,254,17,0
1,1,472,2,0
1,6,413,17,0
0,2,716.65,2,0
0,0,830.7,2,0
1,6,446,2,0
1,6,126,20,0
0,1,847,20,0
1,2,336.01,5,0
1,4,498.59,13,1
0,2,707.64,7,0
1,2,912.06,6,1
1,3,839,6,1
0,0,632.64,0,0
0,0,871.44,9,0
0,0,625.56,3,0
1,9,445.14,19,0
1,10,779,21,0
0,0,765.11,1,0
1,8,869,1,0
0,5,860.99,15,0
1,8,131,22,0
1,0,192.02,4,0
0,2,905.53,12,0
0,1,758.95,8,0
1,7,299,29,1
0,3,889.08,17,0
1,1,227,26,0
0,0,970.47,5,0
0,4,935.85,10,0
1,10,306.08,13,0
1,5,955,29,1
1,8,315,1,0
1,4,670,30,0
0,1,829.08,10,0
0,4,783.52,1,0
0,1,742.23,11,0
0,1,938.26,9,0
0,1,751.15,11,0
0,3,860.54,9,0
1,7,780,25,0
1,6,397,2,0
0,3,898.47,4,0
1,6,947,0,0
0,0,671.83,4,0
1,0,911,30,1
1,8,692,14,0
1,2,270,25,0
0,1,847.29,6,0
0,3,918.42,11,0
1,2,276.63,22,0
0,1,572.88,10,0
0,1,693.95,19,0
1,0,372,19,1
0,3,747.45,8,0
0,3,826.93,10,0
0,1,776.77,14,0
1,7,847,29,0
1,5,391.89,13,1
1,3,115,10,0
0,0,851.95,18,0
0,0,833.05,15,0
1,5,218.63,7,0
0,2,984.8,19,0
0,0,985.65,0,0
0,1,878.1,3,0
0,1,635.18,14,0
1,1,799,14,1
1,2,892,22,0
1,9,315,26,0
1,3,264,29,1
1,1,838,29,0
0,1,677.03,10,0
0,1,532.61,12,0
0,2,509,1,0
0,2,753.49,3,0
0,3,823.64,18,0
0,2,757.41,13,0
0,1,734.04,11,0
0,4,842.31,4,0
1,0,660,0,0
0,0,871.23,12,0
1,1,719,20,1
1,1,263.53,5,0
0,0,716.08,16,0
0,0,931.69,5,0
1,8,891.65,27,0
0,1,534.08,10,0
1,8,433,15,1
0,1,949.6,1,0
1,8,667,30,0
1,10,177,1,0
0,4,926.13,16,0
0,2,814.38,7,0
1,3,145,1,1
1,4,445,27,0
0,1,629.47,5,0
0,4,937.6,11,0
0,0,990.59,8,0
0,4,814.64,0,0
1,2,735,8,0
1,8,537,1,1
1,5,224,13,0
1,2,890,28,0
1,2,538,16,1
0,1,632.92,2,0
1,2,744,8,0
0,2,784.49,8,0
0,1,859.3,7,0
0,0,631.13,20,0
1,0,498,27,0
0,0,637.89,5,0
1,9,658.85,14,0
0,3,673.32,12,0
1,0,405,18,0
0,0,670.45,12,0
1,0,601,16,0
1,5,544,9,0
1,5,838,21,0
0,1,901.91,20,0
0,1,882,5,0
0,1,867.74,16,0
0,0,854.02,19,0
1,1,389,9,0
0,2,520.32,6,0
0,1,523.94,8,0
1,3,417,21,1
0,0,804.97,6,0
0,1,507.3,11,0
1,4,308,10,0
1,2,427,4,0
1,6,741,1,0
1,1,938,3,0
0,4,568.56,11,0
0,3,956.21,6,0
1,6,616,23,1
0,3,815.57,1,0
0,0,688.97,5,0
1,8,720,15,1
0,3,946.5,20,0
1,0,180.4,19,0
0,1,502.94,17,0
1,10,353,21,0
0,3,647.46,18,0
1,1,209,8,1
0,1,649.44,2,0
1,0,707,25,1
1,0,409,12,0
0,3,776.76,14,0
0,2,703.7,15,0
0,3,965.92,1,0
0,0,553.78,0,0
1,6,747,26,0
1,1,538.76,24,0
1,3,875,30,1
1,8,648,3,0
0,1,909.41,3,0
1,1,389,21,0
1,10,415.8,18,1
1,5,349,25,0
1,10,514,28,1
0,0,750,8,0
0,2,638.49,13,0
0,2,634.17,5,0
1,4,582,10,1
1,9,114,8,1
1,9,710,8,1
1,1,192,22,1
0,0,990.5,14,0
1,0,102,28,0
0,2,605.93,17,0
0,1,728.05,10,0
0,0,820.08,4,0
1,0,640,25,0
1,0,778.5,29,0
0,4,594.82,1,0
0,1,808.73,6,0
0,2,657.53,9,0
1,9,516,13,1
1,4,251,27,0
1,8,541,13,0
0,2,547.7,3,0
1,9,332,29,1
0,2,924.69,7,0
1,0,778.5,29,0
0,0,947.72,1,0
0,0,567.05,16,0
0,1,770.92,4,0
1,9,470,9,1
1,0,669,29,1
1,3,592,19,1
1,4,250,18,0
1,2,310,5,0
0,0,642.85,1,0
0,1,595,6,0
0,1,848.65,17,0
1,4,714,4,0
1,3,113,15,0
0,1,969.27,5,0
1,3,490,17,0
0,4,636.3,2,0
0,1,949.91,5,0
1,7,542,1,0
0,2,902,18,0
0,0,866.57,9,0
1,10,756.07,24,0
0,1,536.25,19,0
1,9,850,10,0
0,3,697.3,17,0
1,8,998.22,21,1
1,1,592,4,0
0,1,810.66,17,0
1,10,473.57,28,0
1,5,242,22,0
0,3,854.71,1,0
1,7,962,0,0
1,6,929,3,0
0,0,708.35,3,0
1,0,604,2,0
1,10,174,6,0
0,0,993.56,17,0
1,1,477,19,0
0,3,905.26,6,0
0,0,761.35,11,0
1,7,459,22,0
1,10,463,22,1
1,4,680,24,0
0,2,730.06,13,0
1,3,920,19,0
0,0,715.98,19,0
1,8,980,28,1
0,3,508.7,20,0
1,0,595,11,1
0,0,878.77,10,0
0,1,785.36,18,0
1,3,420,3,0
1,10,923,3,0
1,4,254,19,1
0,0,625.35,4,0
0,0,766.39,3,0
1,7,246,21,0
0,0,611.32,13,0
1,6,225,13,0
1,6,419,2,0
0,1,549.49,19,0
0,0,507.9,19,0
1,3,466,13,0
0,1,619.08,9,0
1,3,286,11,1
1,2,891,18,0
1,6,289,2,0
0,2,820.34,12,0
1,10,701,29,0
0,2,840.87,11,0
1,2,364,20,0
0,1,916.42,19,0
1,3,601,27,0
1,6,995.03,17,0
0,0,722.2,18,0
1,2,278.83,11,0
0,1,580.13,2,0
1,8,413.28,2,0
1,8,580,8,1
1,5,917.39,5,0
0,3,571.6,9,0
0,2,833.11,14,0
0,4,663.29,19,0
1,5,667,23,1
0,0,717.35,11,0
0,1,959.17,19,0
1,2,944.12,7,1
1,5,812,14,1
0,0,815.08,14,0
1,5,609,17,0
1,4,711,6,0
0,2,783.65,17,0
0,4,567.18,13,0
1,1,446.69,14,1
0,0,882.77,5,0
0,4,512.54,18,0
0,1,619.15,11,0
1,1,413,6,1
1,10,891.15,8,1
0,3,525.9,17,0
0,3,541.87,18,0
0,0,753.25,1,0
0,1,535.29,7,0
0,1,521.61,15,0
1,4,266,21,0
0,0,543,2,0
0,3,907.4,16,0
1,3,197,22,0
0,2,568.05,11,0
1,1,166,26,0
0,0,551.89,7,0
0,2,936.28,5,0
0,2,863.32,5,0
0,0,789.75,14,0
1,1,636,14,1
1,4,700,25,1
1,6,597,0,0
1,3,359,23,1
0,0,916.1,2,0
1,2,549,27,0
1,3,571,23,0
0,2,689.1,15,0
1,4,855,20,0
1,0,998,29,1
1,8,873.56,3,0
1,2,238,9,1
1,1,861,5,1
1,0,401,27,0
0,0,603.7,5,0
0,1,743.48,13,0
0,0,673.48,7,0
0,3,784.98,3,0
0,3,884.19,2,0
1,4,561,16,0
0,1,624.92,5,0
1,4,262,18,1
0,2,622.82,10,0
0,3,524.8,4,0
0,0,571.85,5,0
0,0,916.1,11,0
1,0,366,19,0
1,4,545.82,10,0
1,0,202,23,0
1,4,212,1,1
1,3,761,22,1
0,0,879.69,11,0
0,3,815.6,4,0
1,3,689,27,0
0,0,705.81,1,0
0,2,502.53,9,0
0,1,738.36,10,0
0,2,511.6,3,0
0,0,557.11,10,0
1,8,804,22,1
1,8,319,18,0
1,4,963,25,0
1,5,996,21,0
1,6,211,29,1
0,3,720.38,9,0
1,8,993,5,0
0,2,642.28,6,0
0,3,802.02,3,0
0,2,802.87,14,0
0,3,819.6,5,0
1,2,746,30,0
1,8,979,9,1
0,1,898.29,3,0
1,8,231,22,0
1,1,105,16,0
0,3,772.65,7,0
1,0,939,6,0
1,3,538,26,1
0,2,631.99,1,0
0,1,992.9,20,0
1,10,414.28,19,0
0,2,713.27,20,0
1,7,976,18,1
1,0,716.11,11,0
1,8,943,24,0
0,5,869.14,15,0
0,2,503.26,11,0
0,2,598.3,10,0
0,2,904.26,3,0
1,8,743,4,0
0,2,705.53,9,0
1,1,847,22,1
1,3,247,1,0
0,0,649.65,13,0
0,3,954.21,15,0
0,3,777.91,14,0
1,8,109,25,0
0,3,895.25,13,0
0,2,949.95,4,0
1,7,994,17,0
1,5,829,26,0
1,8,369,7,0
0,0,661.15,12,0
0,2,645.52,19,0
1,8,478,27,1
1,7,400,25,0
0,1,582.04,6,0
1,0,302,12,0
0,1,743.81,20,0
1,1,532.96,6,1
1,4,285,7,1
1,8,608,21,0
0,2,522.42,14,0
0,0,692.15,3,0
0,1,892.08,13,0
0,1,651.78,13,0
1,5,716,24,1
0,4,872.97,8,0
0,2,520.39,5,0
1,6,399.83,6,0
0,1,517.35,12,0
1,7,188,12,0
0,4,943.31,6,0
0,0,550.07,19,0
0,4,860.53,18,0
1,10,727.03,17,1
0,1,736.81,10,0
1,2,537,24,0
0,4,937.76,1,0
1,10,428,19,0
1,10,210.8,24,1
1,3,454.3,25,0
1,4,440,25,0
0,2,815.83,15,0
1,6,792.3,18,1
0,2,787.97,2,0
1,7,476,27,0
1,5,450,4,1
1,6,287,4,1
1,1,955,30,0
0,2,537.7,20,0
0,1,884.87,5,0
1,0,404.98,1,0
0,1,589.38,9,0
0,2,554.97,16,0
1,1,561,30,0
1,7,839.41,12,1
1,8,354,26,0
1,9,565,15,1
1,2,928,25,0
0,3,711.73,20,0
0,1,826.15,3,0
0,2,622.1,17,0
1,5,328,14,1
0,3,700.28,12,0
0,3,568.97,15,0
0,0,541,13,0
0,2,586.29,1,0
0,2,532.57,4,0
1,3,238,29,0
0,1,826.65,8,0
1,9,900.02,20,0
0,3,771.35,13,0
1,5,371.27,21,0
0,1,666.81,6,0
0,1,831,4,0
0,3,758.82,3,0
1,7,937,27,0
0,5,593.13,15,0
0,3,835.26,2,0
1,6,501,10,0
0,1,685.07,13,0
1,3,769,20,0
1,2,383,5,0
0,2,742.04,15,0
1,5,975,5,1
0,2,914.07,8,0
0,2,725.8,1,0
0,0,954.22,8,0
1,9,830,29,0
0,0,801.55,17,0
0,0,763.86,11,0
1,0,389,27,0
1,1,582,29,0
1,6,876.51,21,1
0,1,565.5,15,0
1,4,582,1,0
1,3,126,11,0
0,2,587.69,11,0
1,0,307,29,0
1,9,895,2,1
0,2,548.9,0,0
0,2,781.05,9,0
0,1,906,20,0
1,2,849,29,0
0,0,960.82,18,0
0,2,590.86,11,0
1,6,659,6,1
0,0,609.41,2,0
1,9,497,20,0
0,2,698.17,18,0
1,6,461,10,0
0,1,890.33,6,0
1,8,153,17,0
0,4,944.21,7,0
0,2,964.6,4,0
0,0,852.17,0,0
0,0,634.11,7,0
0,2,692.81,19,0
1,9,478,3,0
1,1,249,3,0
1,8,648,8,1
0,1,679.69,1,0
0,4,917.02,10,0
1,2,926.24,9,0
0,2,739.67,7,0
1,3,732,22,1
1,4,327,6,0
1,10,831.47,24,1
1,2,854,29,1
1,9,655,30,0
0,0,934.38,16,0
1,1,757.43,30,0
0,3,656.85,16,0
1,8,856,28,1
1,7,573,22,0
1,8,343,24,1
1,0,232.85,21,0
0,4,841.71,6,0
1,6,690,23,0
1,0,318,7,0
0,4,768.33,14,0
0,4,817.57,14,0
0,0,580.21,3,0
1,8,307,4,0
1,1,455,26,0
1,3,316,20,1
1,3,935,25,0
0,1,550.66,20,0
0,0,820.95,8,0
1,3,167,4,0
1,7,928,18,0
1,10,718,12,0
0,0,500.08,8,0
1,6,369,8,0
1,5,157,3,1
0,1,524.22,1,0
1,8,891.44,22,0
1,4,602,9,0
1,10,821,26,0
0,0,605.83,0,0
0,0,730.37,5,0
1,5,173,6,0
0,2,729.91,12,0
0,5,982.95,13,0
1,3,905.24,19,0
1,8,820,0,0
0,3,887.78,3,0
0,2,917.29,0,0
1,5,348,9,0
1,2,278,1,0
0,4,907.23,8,0
1,8,615,18,0
1,7,488,8,1
1,4,128,1,0
1,4,913,11,0
1,9,380.62,14,0
1,5,323,1,0
0,4,531.31,18,0
0,0,545.83,3,0
0,4,822.88,6,0
1,1,664,0,0
1,7,348,9,1
0,1,982.46,1,0
0,0,683.33,8,0
1,8,403.97,15,0
0,1,662.29,0,0
0,2,683.88,11,0
1,1,342,16,0
0,2,742.98,8,0
1,8,140,10,0
0,1,699.25,9,0
1,1,851,18,0
1,9,487.22,8,0
0,0,809.48,14,0
0,1,922,13,0
0,2,598.58,3,0
1,7,665,2,0
1,2,366,27,0
0,2,521.12,18,0
0,3,575.68,10,0
1,6,505,6,1
1,10,476,22,0
0,3,612.6,0,0
1,9,300,26,0
1,8,732,3,0
0,2,923.24,14,0
0,4,906.56,7,0
0,3,608.84,13,0
1,4,796,1,0
0,1,563.79,15,0
0,3,681.26,2,0
0,0,585.1,5,0
1,3,393,10,1
1,3,818,27,0
1,4,265,29,0
0,0,966.8,13,0
1,4,331,16,0
1,9,380.23,10,1
0,0,969.23,12,0
1,5,218.63,7,0
1,5,611,25,1
0,0,940.18,14,0
1,0,598.49,4,0
0,4,826.82,3,0
1,2,837.76,19,1
0,3,988.63,7,0
0,3,665.7,1,0
1,1,675,16,1
1,3,322,12,0
1,5,464,20,1
0,2,854.69,16,0
1,1,381.01,0,0
1,10,396,26,0
0,1,533.67,10,0
0,4,576.96,14,0
0,1,798.39,5,0
0,5,852.6,7,0
1,6,618.29,10,0
0,4,670.13,7,0
0,2,990.91,19,0
0,2,728.91,17,0
0,3,581.44,5,0
0,0,828.02,15,0
0,1,965.97,12,0
0,0,791.15,7,0
0,3,554.82,19,0
1,6,886.9,29,0
1,4,302,27,1
1,2,345,1,0
0,1,568.24,14,0
1,8,404,8,0
0,2,758.76,3,0
0,1,987.64,7,0
1,1,462,27,0
1,8,813.37,13,1
1,6,783.92,1,1
0,3,847.96,0,0
1,5,166,20,1
0,0,776,8,0
1,2,832,5,0
0,2,931.68,14,0
1,9,760,4,1
1,5,330,15,1
0,1,818.91,13,0
1,10,979,29,1
1,2,492.37,4,0
0,0,667.16,10,0
1,0,580,8,0
1,0,162,12,1
0,0,864.51,5,0
0,0,920.62,2,0
1,8,425,7,0
0,2,934.67,15,0
0,3,915.41,8,0
0,1,948.7,11,0
1,10,308.31,15,1
0,1,884.26,20,0
1,5,297,16,1
1,8,643,24,1
0,0,984.97,20,0
1,6,406.33,3,0
1,1,252,24,1
0,3,978.9,11,0
1,7,978,0,0
1,1,445,28,0
1,10,885,6,0
0,1,602.33,1,0
1,9,454,12,1
1,7,294.28,22,1
1,5,143,23,0
0,0,583.08,5,0
0,1,897.98,18,0
0,0,622.73,2,0
1,10,860,30,0
0,1,631.7,20,0
1,1,741.03,5,0
0,2,772.54,10,0
1,10,708,28,0
1,8,370,11,0
0,2,909.45,18,0
1,3,644,3,0
0,3,567.85,13,0
1,4,386.38,15,0
0,1,985,7,0
0,2,719.73,8,0
1,2,747,26,0
0,1,618.75,14,0
0,2,699.85,11,0
0,0,826.71,3,0
0,1,671.4,12,0
0,2,724.69,17,0
